Detection O
of O
Tomato B
black I
ring I
virus I
by O
real O
- O
time O
one O
- O
step O
RT O
- O
PCR O
. O

Cross O
- O
reactive O
antibodies O
raised O
against O
H1N1 B
viruses I
circulating O
before O
1930 O
show O
protective O
activity O
against O
the O
2009 B
pandemic I
virus I
. O

With O
global O
climate O
change O
, O
abnormally O
low O
temperatures O
have O
affected O
the O
world O
' O
s O
rice B
production O
. O

Brassinosteroids O
( O
BRs O
) O
can O
induce O
plant O
tolerance O
to O
a O
variety O
of O
abiotic O
stresses O
by O
triggering O
the O
generation O
of O
H O
( O
2 O
) O
O O
( O
2 O
) O
as O
a O
signalling O
molecule O
in O
cucumber B
leaves O
. O

First O
, O
we O
construct O
a O
quantitative O
food O
web O
for O
three O
dominant O
leaf O
miner O
species O
on O
the O
oak O
Quercus B
robur I
. O

Furthermore O
, O
TBE B
virus I
RT O
- O
qPCR O
could O
be O
carried O
out O
as O
one O
- O
step O
or O
two O
- O
step O
assay O
. O

The O
FvMK1 O
mitogen O
- O
activated O
protein O
kinase O
gene O
regulates O
conidiation O
, O
pathogenesis O
, O
and O
fumonisin O
production O
in O
Fusarium B
verticillioides I
. O

Disruption O
of O
JEC21 B
SNF1 O
results O
in O
defects O
of O
laccase O
activity O
and O
capsule O
production O
, O
sensitivity O
to O
cation O
stress O
. O

The O
progeny O
of O
a O
cross O
of O
European O
V B
. I
inaequalis I
race O
( O
1 O
) O
isolate O
EU O
- O
B04 O
and O
race O
( O
1 O
, O
2 O
, O
8 O
, O
9 O
) O
isolate O
1639 O
was O
used O
to O
generate O
a O
genetic O
map O
based O
on O
microsatellite O
and O
AFLP O
markers O
, O
and O
investigated O
for O
inheritance O
of O
avirulence O
traits O
on O
20 O
Malus O
accessions O
representing O
17 O
scab O
resistance O
genes O
. O

